Transaction ID,Item,Date,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit,tavg,prcp,wspd
14,Furniture_Chairs_Global Highback Leather Tilter in Burgundy,2014-01-13,Natalie DeCherney,South Carolina,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,87.35,9.1,0.8,3.3
15,Furniture_Bookcases_Sauder Cornerstone Collection Library,2014-01-14,Brendan Sweed,Pennsylvania,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,-53.29,14.326055533232982,1.8191498129141348,10.86637533288153
16,Technology_Accessories_Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,2014-01-15,Erica Hackney,Georgia,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,65.98,14.326055533232982,1.8191498129141348,10.86637533288153
17,"Furniture_Furnishings_DAX Black Cherry Wood-Tone Poster Frame, Technology_Phones_AT&T 841000 Phone, Office Supplies_Binders_GBC Linen Binding Covers, Office Supplies_Labels_Round Specialty Laser Printer Labels",2014-01-16,Delfina Latchford,Pennsylvania,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.1,6,28.6,14.326055533232982,1.8191498129141348,10.86637533288153
18,Office Supplies_Appliances_Fellowes Mighty 8 Compact Surge Protector,2014-01-18,David Wiener,Oregon,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,4,6.49,14.326055533232982,1.8191498129141348,10.86637533288153
19,"Office Supplies_Binders_GBC Standard Recycled Report Covers, Clear Plastic Sheets, Office Supplies_Paper_TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page, Office Supplies_Envelopes_Tyvek  Top-Opening Peel & Seel Envelopes, Plain White, Furniture_Bookcases_O'Sullivan 4-Shelf Bookcase in Odessa Pine",2014-01-19,Toby Swindell,Arizona,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,-23.72,14.326055533232982,1.8191498129141348,10.86637533288153
20,"Technology_Phones_Apple iPhone 5C, Office Supplies_Art_Newell 351, Furniture_Furnishings_Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak, Office Supplies_Art_Newell 327, Office Supplies_Envelopes_Staple envelope, Furniture_Chairs_Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms",2014-01-20,Hunter Lopez,Arkansas,Technology,Phones,Apple iPhone 5C,699.93,7,181.98,10.4,0.0,10.8
21,"Office Supplies_Paper_Wirebound Service Call Books, 5 1/2"" x 4"", Furniture_Furnishings_Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",2014-01-20,Mark Van Huff,California,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,9.29,9.2,0.0,2.0
22,Office Supplies_Binders_GBC DocuBind TL200 Manual Binding Machine,2014-01-20,Muhammed MacIntyre,Tennessee,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.19,1,-51.52,12.263582345029954,2.1742177933538844,11.19349611379967
23,"Office Supplies_Storage_Eldon Fold 'N Roll Cart System, Furniture_Furnishings_Eldon ClusterMat Chair Mat with Cordless Antistatic Protection, Office Supplies_Binders_Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red, Office Supplies_Appliances_Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter, Office Supplies_Storage_Fellowes Bases and Tops For Staxonsteel/High-Stak Systems, Office Supplies_Art_Panasonic KP-4ABK Battery-Operated Pencil Sharpener, Furniture_Furnishings_Ultra Door Push Plate, Office Supplies_Binders_Storex Dura Pro Binders",2014-01-20,Xylona Preis,Michigan,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,4.05,14.326055533232982,1.8191498129141348,10.86637533288153
24,Furniture_Furnishings_Ultra Door Pull Handle,2014-01-21,Tom Boeckenhauer,Florida,Furniture,Furnishings,Ultra Door Pull Handle,25.25,3,4.1,15.1,2.1742177933538844,11.19349611379967
25,Office Supplies_Paper_Xerox 195,2014-01-23,Ionia McGrath,Nevada,Office Supplies,Paper,Xerox 195,40.08,6,19.24,2.2,0.0,15.2
26,"Office Supplies_Fasteners_Alliance Big Bands Rubber Bands, 12/Pack",2014-01-23,Speros Goranitis,Indiana,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0.0,-16.8,0.0,21.9
27,"Office Supplies_Binders_Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders, Furniture_Bookcases_Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",2014-01-26,Carol Adams,South Dakota,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,5.02,14.326055533232982,1.8191498129141348,10.86637533288153
28,"Furniture_Furnishings_GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack, Office Supplies_Storage_SAFCO Commercial Wire Shelving, 72h, Office Supplies_Paper_Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream, Office Supplies_Paper_REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages, Technology_Phones_Macally Suction Cup Mount, Furniture_Furnishings_Eldon Image Series Black Desk Accessories, Technology_Phones_Jabra SPEAK 410",2014-01-26,Shirley Daniels,Virginia,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,30.78,-1.2,2.1742177933538844,9.7
29,"Office Supplies_Storage_Recycled Steel Personal File for Hanging File Folders, Furniture_Tables_Balt Split Level Computer Training Table, Office Supplies_Art_Dixon Ticonderoga Core-Lock Colored Pencils",2014-01-27,Ed Jacobs,California,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,14.31,10.5,0.0,2.0
30,"Office Supplies_Binders_Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2014-01-28,Jasper Cacioppo,New York,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.93,1,1.33,-16.1,0.0,12.6
31,"Office Supplies_Paper_Xerox 1972, Office Supplies_Storage_Space Solutions HD Industrial Steel Shelving.",2014-01-30,Mike Vittorini,Michigan,Office Supplies,Paper,Xerox 1972,10.56,2,4.75,14.326055533232982,1.8191498129141348,10.86637533288153
32,"Furniture_Bookcases_Sauder Facets Collection Library, Sky Alder Finish",2014-01-31,Liz Carlisle,California,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.67,2,3.42,10.5,0.5,11.7
33,Technology_Accessories_Enermax Aurora Lite Keyboard,2014-02-01,Bradley Drucker,Wisconsin,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,206.32,-14.7,2.1742177933538844,4.6
34,Office Supplies_Fasteners_Staples,2014-02-02,Cynthia Delaney,California,Office Supplies,Fasteners,Staples,12.35,5,5.8,6.9,5.8,9.3
35,"Office Supplies_Binders_Surelock Post Binders, Technology_Phones_AT&T 17929 Lendline Telephone",2014-02-02,Eric Barreto,Florida,Office Supplies,Binders,Surelock Post Binders,18.34,2,-12.22,12.263582345029954,2.1742177933538844,11.19349611379967
36,"Office Supplies_Binders_Ibico Laser Imprintable Binding System Covers, Office Supplies_Binders_Avery Durable Poly Binders",2014-02-03,Tom Boeckenhauer,Washington,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,27.25,14.326055533232982,1.8191498129141348,10.86637533288153
37,"Office Supplies_Binders_GBC Recycled Grain Textured Covers, Office Supplies_Paper_Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",2014-02-04,Deborah Brumfield,California,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.9,3,29.01,8.1,0.0,7.2
38,"Office Supplies_Binders_GBC Standard Recycled Report Covers, Clear Plastic Sheets",2014-02-04,Mark Haberlin,California,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25,2,6.04,8.1,0.0,7.2
39,"Office Supplies_Binders_Avery Flip-Chart Easel Binder, Black",2014-02-06,Delfina Latchford,Illinois,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.95,2,-14.77,-18.3,2.1742177933538844,11.4
40,"Office Supplies_Labels_Avery 480, Technology_Phones_Aastra 57i VoIP phone, Technology_Phones_AT&T CL82213",2014-02-06,Neil Ducich,Virginia,Office Supplies,Labels,Avery 480,15.0,4,7.2,0.6,2.1742177933538844,7.6
41,Office Supplies_Storage_Acco Perma 4000 Stacking Storage Drawers,2014-02-07,Chris Selesnick,New York,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,9.74,-9.7,0.0,12.2
42,Technology_Accessories_Maxell DVD-RAM Discs,2014-02-07,Cyma Kinney,New Jersey,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7,49.6,-3.2,0.0,11.1
43,"Furniture_Furnishings_Master Caster Door Stop, Large Brown",2014-02-08,Nathan Mautz,Nevada,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,2,5.53,2.8,0.0,9.7
44,"Furniture_Chairs_Global Value Mid-Back Manager's Chair, Gray, Office Supplies_Labels_Avery 483, Office Supplies_Binders_Wilson Jones Turn Tabs Binder Tool for Ring Binders, Furniture_Furnishings_Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle, Office Supplies_Binders_VariCap6 Expandable Binder, Office Supplies_Storage_Fellowes Neat Ideas Storage Cubes",2014-02-11,Guy Armstrong,Missouri,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,1,15.22,-13.0,2.1742177933538844,5.9
45,"Technology_Accessories_Enermax Aurora Lite Keyboard, Furniture_Tables_Hon 2111 Invitation Series Corner Table, Office Supplies_Binders_Wilson Jones Leather-Like Binders with DublLock Round Rings",2014-02-11,Natalie Fritzler,Virginia,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,3,103.16,-3.9,2.1742177933538844,8.4
46,"Furniture_Chairs_Global Geo Office Task Chair, Gray",2014-02-12,Sanjit Chand,California,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.57,2,-24.29,11.5,0.0,3.6
47,"Technology_Accessories_Logitech G600 MMO Gaming Mouse, Office Supplies_Appliances_Belkin 8 Outlet Surge Protector, Office Supplies_Supplies_Compact Automatic Electric Letter Opener",2014-02-14,Marina Lichtenstein,Washington,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,3,86.39,14.326055533232982,1.8191498129141348,10.86637533288153
48,"Office Supplies_Paper_Memo Book, 100 Message Capacity, 5 3/8 x 11",2014-02-14,Shui Tom,Texas,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8 x 11",16.18,3,6.07,14.5,0.0,17.8
49,Office Supplies_Binders_Pressboard Data Binders by Wilson Jones,2014-02-15,Barry Französisch,Washington,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21.36,5,7.21,14.326055533232982,1.8191498129141348,10.86637533288153
50,"Office Supplies_Binders_Wilson Jones Easy Flow II Sheet Lifters, Office Supplies_Appliances_Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",2014-02-16,Michael Nguyen,Texas,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,3,-1.73,16.5,0.0,15.8
51,Office Supplies_Art_Staples in misc. colors,2014-02-17,Delfina Latchford,Illinois,Office Supplies,Art,Staples in misc. colors,54.21,14,8.81,-4.2,2.1742177933538844,28.1
52,Office Supplies_Storage_Akro Stacking Bins,2014-02-18,Aaron Bergman,Texas,Office Supplies,Storage,Akro Stacking Bins,12.62,2,-2.52,17.0,0.0,11.3
53,"Furniture_Furnishings_DAX Copper Panel Document Frame, 5 x 7 Size",2014-02-18,Troy Blackwell,Texas,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,5,-11.32,17.0,0.0,11.3
54,"Technology_Accessories_Enermax Briskie RF Wireless Keyboard and Mouse Combo, Furniture_Furnishings_Master Caster Door Stop, Brown",2014-02-20,Linda Cazamias,Indiana,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,22.43,7.8,8.1,16.2
55,Office Supplies_Paper_Xerox 204,2014-02-20,Steven Roelle,California,Office Supplies,Paper,Xerox 204,12.96,2,6.22,11.3,0.0,4.4
56,Office Supplies_Binders_GBC Standard Plastic Binding Systems Combs,2014-02-21,Tamara Manning,Illinois,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,8.85,5,-13.72,0.2,2.1742177933538844,29.4
57,Office Supplies_Paper_Xerox 220,2014-02-22,Sue Ann Reed,California,Office Supplies,Paper,Xerox 220,19.44,3,9.33,13.6,0.0,3.5
58,"Office Supplies_Labels_Staple-on labels, Office Supplies_Binders_GBC Plastic Binding Combs",2014-02-23,Michael Grace,Texas,Office Supplies,Labels,Staple-on labels,6.94,3,2.34,18.1,0.0,12.8
59,"Office Supplies_Paper_Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book, Office Supplies_Paper_TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",2014-02-24,Jennifer Halladay,Oregon,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32.9,4,11.1,14.326055533232982,1.8191498129141348,10.86637533288153
60,Office Supplies_Art_Zebra Zazzle Fluorescent Highlighters,2014-02-27,Joy Smith,Ohio,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,3.4,-9.7,2.1742177933538844,21.4
61,Furniture_Chairs_Global Deluxe High-Back Manager's Chair,2014-03-01,Dave Brooks,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2,51.48,14.326055533232982,1.8191498129141348,10.86637533288153
62,"Office Supplies_Storage_Recycled Steel Personal File for Hanging File Folders, Furniture_Tables_Bevis Round Conference Room Tables and Bases",2014-03-01,Giulietta Weimer,Texas,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.35,3,8.58,17.2,0.0,16.3
63,Technology_Phones_Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,2014-03-01,Hallie Redmond,New York,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,1.6,-8.6,0.0,12.6
64,"Office Supplies_Fasteners_Plymouth Boxed Rubber Bands by Plymouth, Furniture_Chairs_Harbour Creations Steel Folding Chair, Furniture_Furnishings_DAX Black Cherry Wood-Tone Poster Frame, Office Supplies_Storage_Fellowes Bankers Box Recycled Super Stor/Drawer",2014-03-01,Shahid Collister,Texas,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,-3.53,17.2,0.0,16.3
65,"Furniture_Chairs_Novimex Swivel Fabric Task Chair, Office Supplies_Paper_Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",2014-03-01,Vicky Freymann,Illinois,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.12,6,-172.12,-5.0,2.1742177933538844,20.4
66,"Office Supplies_Envelopes_Staple envelope, Office Supplies_Paper_Array Parchment Paper, Assorted Colors",2014-03-02,Kristina Nunn,New York,Office Supplies,Envelopes,Staple envelope,11.36,2,5.34,-5.3,0.5,13.3
67,"Office Supplies_Paper_Xerox 1971, Technology_Accessories_Hypercom P1300 Pinpad",2014-03-02,Nicole Hansen,Pennsylvania,Office Supplies,Paper,Xerox 1971,3.42,1,1.07,14.326055533232982,1.8191498129141348,10.86637533288153
68,"Technology_Phones_PowerGen Dual USB Car Charger, Office Supplies_Binders_Ibico Laser Imprintable Binding System Covers, Office Supplies_Binders_Cardinal HOLDit! Binder Insert Strips,Extra Strips",2014-03-03,Anne Pryor,New York,Technology,Phones,PowerGen Dual USB Car Charger,9.99,1,4.6,-12.7,0.0,13.7
69,Office Supplies_Art_Zebra Zazzle Fluorescent Highlighters,2014-03-03,Ashley Jarboe,North Carolina,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,3.4,5.5,2.1742177933538844,8.1
70,"Furniture_Tables_Bevis Oval Conference Table, Walnut",2014-03-03,Eva Jacobs,California,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626.35,3,-23.49,14.3,0.0,4.6
71,"Office Supplies_Labels_Avery 495, Furniture_Bookcases_O'Sullivan 4-Shelf Bookcase in Odessa Pine, Office Supplies_Storage_Eldon Shelf Savers Cubes and Bins",2014-03-03,Jill Stevenson,Ohio,Office Supplies,Labels,Avery 495,15.12,3,4.91,-11.0,2.1742177933538844,14.4
72,Office Supplies_Appliances_3.6 Cubic Foot Counter Height Office Refrigerator,2014-03-03,Sam Craven,Texas,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,176.77,3,-459.61,-2.2,0.0,20.3
73,Office Supplies_Storage_Sensible Storage WireTech Storage Systems,2014-03-04,Clay Ludtke,South Carolina,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,354.9,5,17.75,1.0,0.0,9.0
74,"Office Supplies_Art_BIC Brite Liner Highlighters, Chisel Tip",2014-03-04,Sanjit Chand,Florida,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",15.55,3,2.33,12.263582345029954,2.1742177933538844,11.19349611379967
75,"Office Supplies_Art_Newell 345, Technology_Accessories_Logitech Wireless Gaming Headset G930, Office Supplies_Supplies_Acme Forged Steel Scissors with Black Enamel Handles, Office Supplies_Binders_GBC Wire Binding Combs, Office Supplies_Paper_Xerox 1891",2014-03-05,Aimee Bixby,New York,Office Supplies,Art,Newell 345,59.52,3,15.48,-7.9,0.0,12.6
76,"Furniture_Chairs_Global Push Button Manager's Chair, Indigo, Office Supplies_Art_Newell 330, Office Supplies_Storage_Carina 42""Hx23 3/4""W Media Storage Unit",2014-03-07,Aaron Bergman,Washington,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",48.71,1,5.48,14.326055533232982,1.8191498129141348,10.86637533288153
77,"Office Supplies_Art_Newell Chalk Holder, Office Supplies_Storage_Contico 72""H Heavy-Duty Storage System, Furniture_Chairs_Office Star - Task Chair with Contemporary Loop Arms, Furniture_Chairs_Global Leather and Oak Executive Chair, Black",2014-03-07,Craig Molinari,Washington,Office Supplies,Art,Newell Chalk Holder,20.65,5,9.5,14.326055533232982,1.8191498129141348,10.86637533288153
78,Office Supplies_Binders_Catalog Binders with Expanding Posts,2014-03-07,Nora Pelletier,Washington,Office Supplies,Binders,Catalog Binders with Expanding Posts,107.65,2,33.64,14.326055533232982,1.8191498129141348,10.86637533288153
79,"Office Supplies_Storage_Tennsco 6- and 18-Compartment Lockers, Office Supplies_Art_BOSTON Ranger #55 Pencil Sharpener, Black",2014-03-10,Kean Thornton,Colorado,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,636.41,3,-15.91,14.326055533232982,1.8191498129141348,10.86637533288153
80,"Office Supplies_Paper_Geographics Note Cards, Blank, White, 8 1/2"" x 11""",2014-03-10,Scott Williamson,Michigan,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",22.38,2,10.74,4.8,2.1742177933538844,14.2
81,"Furniture_Furnishings_Eldon Wave Desk Accessories, Office Supplies_Fasteners_Stockwell Push Pins",2014-03-11,Chloris Kastensmidt,Ohio,Furniture,Furnishings,Eldon Wave Desk Accessories,8.32,5,2.29,11.7,2.1742177933538844,9.0
82,"Office Supplies_Appliances_Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote, Technology_Accessories_Maxell DVD-RAM Discs, Technology_Phones_Panasonic KX-TG9471B, Office Supplies_Paper_Xerox 198",2014-03-11,Filia McAdams,Kentucky,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",146.76,3,38.16,14.3,2.1742177933538844,11.5
83,"Office Supplies_Paper_Southworth 100% Résumé Paper, 24lb.",2014-03-11,Kelly Andreada,New York,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb.",108.92,14,49.01,7.1,0.0,9.7
84,Office Supplies_Art_Economy #2 Pencils,2014-03-11,Richard Bierner,California,Office Supplies,Art,Economy #2 Pencils,7.98,3,2.07,13.3,0.0,9.5
85,Furniture_Chairs_Global Commerce Series High-Back Swivel/Tilt Chairs,2014-03-14,Christine Kargatis,Virginia,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,1139.92,4,284.98,5.5,2.1742177933538844,9.7
86,"Office Supplies_Paper_Xerox 1972, Office Supplies_Art_Avery Hi-Liter Fluorescent Desk Style Markers",2014-03-14,Dean Katz,California,Office Supplies,Paper,Xerox 1972,10.56,2,4.75,15.0,0.0,7.4
87,"Office Supplies_Binders_GBC Wire Binding Combs, Office Supplies_Storage_Carina Double Wide Media Storage Towers in Natural & Black, Technology_Accessories_Imation 30456 USB Flash Drive 8GB, Office Supplies_Storage_Staple magnet, Office Supplies_Binders_Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",2014-03-14,Jason Fortune-,Utah,Office Supplies,Binders,GBC Wire Binding Combs,33.09,4,11.17,6.0,2.1742177933538844,7.2
88,Office Supplies_Paper_Xerox 1887,2014-03-14,Neil Französisch,Florida,Office Supplies,Paper,Xerox 1887,91.06,6,31.87,15.3,2.1742177933538844,11.9
89,"Technology_Machines_Hewlett-Packard Deskjet 6540 Color Inkjet Printer, Office Supplies_Paper_Xerox 1963",2014-03-14,Rick Bensley,Illinois,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,574.91,2,156.05,6.7,2.1742177933538844,29.8
90,"Office Supplies_Storage_Hot File 7-Pocket, Floor Stand, Furniture_Furnishings_Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany, Office Supplies_Binders_Insertable Tab Post Binder Dividers, Office Supplies_Binders_GBC VeloBinder Manual Binding System, Office Supplies_Paper_Xerox 1889",2014-03-15,Alan Shonely,Florida,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",142.78,1,17.85,12.263582345029954,2.1742177933538844,11.19349611379967
91,Technology_Phones_Polycom VoiceStation 500 Conference phone,2014-03-16,Kristina Nunn,North Carolina,Technology,Phones,Polycom VoiceStation 500 Conference phone,471.92,2,29.5,9.0,2.1742177933538844,4.1
92,"Office Supplies_Art_Newell 333, Office Supplies_Paper_Xerox 1966, Office Supplies_Paper_Xerox 1967",2014-03-17,Annie Zypern,Texas,Office Supplies,Art,Newell 333,4.45,2,0.33,10.8,0.0,13.3
93,"Office Supplies_Appliances_Bionaire Personal Warm Mist Humidifier/Vaporizer, Office Supplies_Paper_Memo Book, 100 Message Capacity, 5 3/8 x 11, Office Supplies_Art_Newell 35, Office Supplies_Binders_Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders, Office Supplies_Binders_Avery Non-Stick Heavy Duty View Round Locking Ring Binders",2014-03-17,Bradley Nguyen,Minnesota,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,93.78,2,36.57,-2.1,0.0,18.7
94,"Furniture_Tables_Bretford Rectangular Conference Table Tops, Furniture_Tables_Balt Solid Wood Round Tables, Furniture_Tables_Hon 30"" x 60"" Table with Locking Drawer, Office Supplies_Paper_Xerox 1926, Office Supplies_Paper_Xerox 1918",2014-03-17,Christine Phan,New York,Furniture,Tables,Bretford Rectangular Conference Table Tops,1579.75,7,-447.59,-8.8,0.0,7.9
